"","diet_analysis_id","world_country_description","wolf_population_code","wolf_subspecies_code","study_area","pack","latitude","longitude","source_code","analytical_method_code","identification_method_code","temporal_scale_code","derived_diet","sample_size","surface_area","sampling_period","time_series","spatial_effort","temporal_effort","total_effort","responsible","moose_alces.alces","blackbuck_antilope.cervicapra","american.bison_bison.bison","european.bison_bison.bonasus","yak_bos.grunniens","cattle_bos.taurus","nilgai_boselaphus.tragocamelus","buffalo_bubalus.bubalis","camel_camelus.ferus","dog_canis.familiaris","wolf_canis.lupus","wild.goat_capra.aegagrus","goat_capra.aegagrus.hircus","markhor_capra.falconeri","alpine.ibex_capra.ibex","siberian.ibex_capra.sibirica","roe.deer_capreolus.capreolus","carnivorae_carnivorae","elk_cervus.elaphus.canadensis","red.deer_cervus.elaphus.elaphus","sika.deer_cervus.nippon","fallow.deer_dama.dama","donkey_equus.africanus.asinus","horse_equus.ferus.caballus","przewalski.horse_equus.ferus.przewalskii","onager_equus.hemionus","cat_felis.catus","chinkara_gazella.bennettii","goitered.gazelle_gazella.subgutturosa","crested.porcupine_hystrix.cristata","badger_meles.meles","musk.deer_moschus.sp","raccoon.dog_nyctereutes.procyonoides","mule.deer_odocoileus.hemionus","black.tailed.deer_odocoileus.hemionus.columbianus","white.tailed.deer_odocoileus.virginianus","mountain.goat_oreamnos.americanus","muskox_ovibos.moschatus","argali_ovis.ammon","sheep_ovis.aries","bighorn_ovis.canadensis","dall.sheep_ovis.dalli","snow.sheep_ovis.nivicola","mouflon_ovis.orientalis","urial_ovis.orientalis.vignei","mongolian.gazelle_procapra.gutturosa","przewalski.gazelle_procapra.przewalskii","blue.sheep_pseudois.nayaur","wild.reindeer_rangifer.tarandus","chamois_rupicapra.rupicapra","saiga_saiga.tatarica","wild.boar_sus.scrofa","pig_sus.scrofa.domesticus","brown.bear_ursus.arctos","red.fox_vulpes.vulpes","wild.artiodactyla_wild.artiodactyla","wild.bovidae_wild.bovidae","bird_aves","castor.sp_castor.sp","cervidae_cervidae","domestic.ungulata_domestic.ungulata","fish_fish","garbage_garbage","lagomorpha_lagomorpha","marmota.sp_marmota.sp","mesomammals_mesomammals","micromammals_micromammals","microrodents_microrodents","other_other","other.domestic.ungulata_other.domestic.ungulata","semiaquatic.rodentia_semiaquatic.rodentia","undefined.item_undefined.item","vegetable.fruit_vegetable.fruit"
"135",135,"Poland","carpathians","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains",NA,49.5,19.333,"excrement","%FO (scat)","visual","year",NA,390,745,"1997-2001",4,0.523489932885906,97.5,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,32.8,0.3,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,0.3,NA,NA,0.3,NA,26.4,NA,NA,1,4.9,NA,NA,0.8,1.1,8.5,NA,NA,NA,57.2
"136",136,"Poland","carpathians","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains",NA,49.5,19.333,"excrement","%Vm","visual","year",NA,390,745,"1997-2001",4,0.523489932885906,97.5,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,32.6,0,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,0.1,NA,NA,0,NA,16.4,NA,NA,0,1.6,NA,NA,0,0,0,NA,NA,NA,0
"137",137,"Poland","carpathians","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Grapa pack",49.5,19.333,"excrement","%FO (scat)","visual","year",NA,272,745,"1997-2001",4,0.36510067114094,68,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0.4,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,35.3,NA,NA,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,NA,NA,NA,62.9,NA,NA,NA,NA
"138",138,"Poland","carpathians","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Grapa pack",49.5,19.333,"excrement","%Vm","visual","year",NA,272,745,"1997-2001",4,0.36510067114094,68,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,37.7,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA
"139",139,"Poland","carpathians","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Gron pack",49.5,19.333,"excrement","%FO (scat)","visual","year",NA,87,745,"1997-2001",4,0.116778523489933,21.75,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,1.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,32.2,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA,NA,NA,NA,73.6,NA,NA,NA,NA
"140",140,"Poland","carpathians","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Gron pack",49.5,19.333,"excrement","%Vm","visual","year",NA,87,745,"1997-2001",4,0.116778523489933,21.75,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,29.1,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,29.2,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA
"141",141,"Poland","carpathians","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Halny pack",49.5,19.333,"excrement","%FO (scat)","visual","year",NA,31,745,"1997-2001",4,0.0416107382550336,7.75,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,12.9,NA,NA,51.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,58.1,NA,NA,NA,NA
"142",142,"Poland","carpathians","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Halny pack",49.5,19.333,"excrement","%Vm","visual","year",NA,31,745,"1997-2001",4,0.0416107382550336,7.75,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4.6,NA,NA,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA
"143",143,"Bulgaria","dinaric-balkan","Canis lupus lupus","State Game Enterprise ‘Chepino’ is situated in Western Rhodopes",NA,41.36,24.34,"excrement","%FO (item)","visual","year",NA,80,103,"2006-07",1,0.770712909441233,80,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.25,1.25,NA,22.5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",144,"Bulgaria","dinaric-balkan","Canis lupus lupus","State Game Enterprise ‘Chepino’ is situated in Western Rhodopes",NA,41.36,24.34,"excrement","%Vm","visual","year",NA,80,103,"2006-07",1,0.770712909441233,80,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,0,NA,33.8,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",151,"Greece","dinaric-balkan","Canis lupus lupus","prefectures of Fthiotida and Magnesia","one wolf pack",38.9672,22.5057,"excrement","%FO (item)","visual","winter",NA,36,500,"2000",1,0.072,36,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,1.47,NA,NA,NA,NA,NA,NA,32.35,NA,NA,NA,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88,42.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,NA,NA,NA,4.41
"146",152,"Greece","dinaric-balkan","Canis lupus lupus","prefectures of Fthiotida and Magnesia","one wolf pack",38.9672,22.5057,"excrement","%FO (scat)","visual","winter",NA,36,500,"2000",1,0.072,36,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,2.77,NA,NA,NA,NA,NA,NA,61.11,NA,NA,NA,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77,NA,NA,NA,8.32
"147",153,"Greece","dinaric-balkan","Canis lupus lupus","prefectures of Fthiotida and Magnesia","one wolf pack",38.9672,22.5057,"excrement","%Bio","visual","winter",NA,36,500,"2000",1,0.072,36,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,29.03,NA,NA,NA,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.42,40.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,12.14
"148",154,"Greece","dinaric-balkan","Canis lupus lupus","prefectures of Fthiotida and Magnesia","one wolf pack",38.9672,22.5057,"excrement","%Vm","visual","winter",NA,36,500,"2000",1,0.072,36,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,1.89,NA,NA,NA,NA,NA,NA,26.27,NA,NA,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,54.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"149",155,"Slovenia","dinaric-balkan","Canis lupus lupus","National scale (slowolf area)",NA,45.77,14.39,"excrement","%FO (item)","visual","year",NA,30,1000,"1998-2009",12,0.03,2.5,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,70,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",156,"Slovenia","dinaric-balkan","Canis lupus lupus","National scale (slowolf area)",NA,45.77,14.39,"excrement","%Vm","visual","year",NA,30,1000,"1998-2009",12,0.03,2.5,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,69,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",157,"Italy","italian peninsula","Canis lupus italicus","Majella, Abruzzo",NA,42.03,14.03,"excrement","%FO (scat)","visual","year",NA,220,NA,"1973-1977",5,NA,44,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,16.8,NA,NA,NA,3.6,NA,10,NA,NA,NA,78.6
"152",158,"Italy","italian peninsula","Canis lupus italicus","Majella, Abruzzo",NA,42.03,14.03,"excrement","%FO (scat)","visual","summer",NA,84,NA,"1973-1977",5,NA,16.8,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,NA,10.7,NA,NA,NA,8.3,NA,17.9,NA,NA,NA,82.1
"153",159,"Italy","italian peninsula","Canis lupus italicus","Majella, Abruzzo",NA,42.03,14.03,"excrement","%FO (scat)","visual","winter",NA,136,NA,"1973-1977",5,NA,27.2,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4,NA,20.6,NA,NA,NA,0.7,NA,5.1,NA,NA,NA,76.5
"154",160,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%FO (scat)","visual","spring",NA,41,860,"Jun2007-May2008",1,0.0476744186046512,41,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,12.2,NA,NA,2.4,NA,2.4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,4.9,NA,NA,NA,NA,NA,24.4
"155",161,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%Bio","visual","spring",NA,41,860,"Jun2007-May2008",1,0.0476744186046512,41,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,10,NA,NA,2.4,NA,2.4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,4.6,NA,NA,NA,NA,NA,5.8
"156",162,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%FO (scat)","visual","summer",NA,24,860,"Jun2007-May2008",1,0.027906976744186,24,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16.7,NA,NA,NA,16.7,NA,NA,0,NA,4.2,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,25,NA,NA,NA,NA,NA,8.3
"157",163,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%Bio","visual","summer",NA,24,860,"Jun2007-May2008",1,0.027906976744186,24,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,16,NA,NA,0,NA,4.2,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,11.5,NA,NA,NA,NA,NA,7
"158",164,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%FO (scat)","visual","autumn",NA,20,860,"Jun2007-May2008",1,0.0232558139534884,20,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,15,NA,NA,0,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,NA,NA,35
"159",165,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%Bio","visual","autumn",NA,20,860,"Jun2007-May2008",1,0.0232558139534884,20,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,15,NA,NA,0,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,0,NA,NA,NA,NA,NA,13
"160",166,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%FO (scat)","visual","winter",NA,18,860,"Jun2007-May2008",1,0.0209302325581395,18,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,5.6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,0,NA,NA,NA,NA,NA,16.7
"161",167,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%Bio","visual","winter",NA,18,860,"Jun2007-May2008",1,0.0209302325581395,18,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,5.5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,0,NA,NA,NA,NA,NA,0.2
"162",168,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%FO (scat)","visual","year",NA,103,860,"Jun2007-May2008",1,0.119767441860465,103,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,11.7,NA,NA,1,NA,3.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,7.8,NA,NA,NA,NA,NA,28.2
"163",169,"Italy","italian peninsula","Canis lupus italicus","Piacenza-Pavia",NA,44.7714,9.3864,"excrement","%Bio","visual","year",NA,103,860,"Jun2007-May2008",1,0.119767441860465,103,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,10.4,NA,NA,1,NA,3.8,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,4.4,NA,NA,NA,NA,NA,7.3
"164",170,"Italy","italian peninsula","Canis lupus italicus","Berignone (Pisa)",NA,43.29,10.87,"excrement","%FO (item)","visual","year",NA,125,26,"Sep2008-Oct2009",1,4.66417910447761,125,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,0.6,NA,NA,0,0,NA,NA,NA,NA,19.6
"165",171,"Italy","italian peninsula","Canis lupus italicus","Berignone (Pisa)",NA,43.29,10.87,"excrement","%Bio","visual","year",NA,125,26,"Sep2008-Oct2009",1,4.66417910447761,125,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,0.8,NA,NA,0,0,NA,NA,NA,NA,14.2
"166",172,"Italy","italian peninsula","Canis lupus italicus","Berignone (Pisa)",NA,43.29,10.87,"excrement","%Vm","visual","year",NA,125,26,"Sep2008-Oct2009",1,4.66417910447761,125,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0
"167",173,"Italy","italian peninsula","Canis lupus italicus","Berignone (Pisa)",NA,43.29,10.87,"excrement","%Vm","visual","warm season",NA,74,26,"summer2008",1,2.76119402985075,74,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,0
"168",174,"Italy","italian peninsula","Canis lupus italicus","Berignone (Pisa)",NA,43.29,10.87,"excrement","%Vm","visual","cold season",NA,59,26,"winter2008-2009",1,2.20149253731343,59,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,NA,NA,NA,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,16.9,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0
"169",175,"Italy","italian peninsula","Canis lupus italicus","Orecchiella2 (Lucca)",NA,44.2069,10.365,"excrement","%Bio","visual","year",NA,117,52,NA,1,2.24223840551936,117,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,0,NA,NA,NA,0,5.1,NA,NA,NA,0.4
"170",176,"Italy","italian peninsula","Canis lupus italicus","Orecchiella2 (Lucca)",NA,44.2069,10.365,"excrement","%Vm","visual","year",NA,117,52,NA,1,2.24223840551936,117,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,NA,NA,NA,NA,NA,NA,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,NA,NA,NA,0,3.2,NA,NA,NA,0
"171",177,"Italy","italian peninsula","Canis lupus italicus","Orecchiella1 (Lucca)",NA,44.2069,10.365,"excrement","%FO (item)","visual","year",TRUE,217,52,"Jun1991-Nov1993",3,4.15868148715983,72.3333333333333,NA,"Andrea Gazzola",NA,NA,NA,NA,NA,1.25,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,10.83,1.25,NA,3.75,NA,1.67,NA,2.08,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,13.75,NA,NA,NA,NA,NA,NA,NA,26.67,NA,NA,NA,4.17,NA,2.08,NA,NA,NA,NA,NA,5.42,NA,NA,5.83,NA,4.59,NA,NA,NA,4.58
