"","diet_analysis_id","world_country_description","wolf_population_description","wolf_subspecies_description","study_area","pack","latitude","longitude","source_id","analytical_method_description","identification_method_description","temporal_scale_description","derived_diet","sample_size","surface_area","sampling_period","time_series","spatial_effort","temporal_effort","total_effort","moose_alces.alces","blackbuck_antilope.cervicapra","american.bison_bison.bison","european.bison_bison.bonasus","yak_bos.grunniens","cattle_bos.taurus","nilgai_boselaphus.tragocamelus","buffalo_bubalus.bubalis","camel_camelus.ferus","dog_canis.familiaris","wolf_canis.lupus","wild.goat_capra.aegagrus","goat_capra.aegagrus.hircus","markhor_capra.falconeri","alpine.ibex_capra.ibex","siberian.ibex_capra.sibirica","roe.deer_capreolus.capreolus","carnivorae_carnivorae","elk_cervus.elaphus.canadensis","red.deer_cervus.elaphus.elaphus","sika.deer_cervus.nippon","fallow.deer_dama.dama","donkey_equus.africanus.asinus","horse_equus.ferus.caballus","przewalski.horse_equus.ferus.przewalskii","onager_equus.hemionus","cat_felis.catus","chinkara_gazella.bennettii","goitered.gazelle_gazella.subgutturosa","crested.porcupine_hystrix.cristata","badger_meles.meles","musk.deer_moschus.sp","raccoon.dog_nyctereutes.procyonoides","mule.deer_odocoileus.hemionus","black.tailed.deer_odocoileus.hemionus.columbianus","white.tailed.deer_odocoileus.virginianus","mountain.goat_oreamnos.americanus","muskox_ovibos.moschatus","argali_ovis.ammon","sheep_ovis.aries","bighorn_ovis.canadensis","dall.sheep_ovis.dalli","snow.sheep_ovis.nivicola","mouflon_ovis.orientalis","urial_ovis.orientalis.vignei","mongolian.gazelle_procapra.gutturosa","przewalski.gazelle_procapra.przewalskii","blue.sheep_pseudois.nayaur","wild.reindeer_rangifer.tarandus","chamois_rupicapra.rupicapra","saiga_saiga.tatarica","wild.boar_sus.scrofa","pig_sus.scrofa.domesticus","brown.bear_ursus.arctos","red.fox_vulpes.vulpes","wild.artiodactyla_wild.artiodactyla","wild.bovidae_wild.bovidae","bird","castor.sp","cervidae","domestic.ungulata","fish","garbage","lagomorpha","marmota.sp","mesomammals","micromammals","microrodents","other","other.domestic.ungulata","semiaquatic.rodentia","undefined.item","vegetable.fruit"
"112",112,"Germany","Central European Lowlands (DEU; POL)","Canis lupus lupus","Lusatian heath, north eastern Saxony and parts of southern Brandenburg",NA,50.5,14.38,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,NA,2500,"2007-08",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,23.2,NA,2.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,"Germany","Central European Lowlands (DEU; POL)","Canis lupus lupus","Lusatian heath, north eastern Saxony and parts of southern Brandenburg",NA,50.5,14.38,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,NA,2500,"2008-09",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8,NA,NA,26.4,NA,3.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,"Romania","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Putna Vrancea Natural Park",NA,45.834137,26.43840199,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,250,500,"Nov2013-Oct2014",1,0.5,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,2.13,NA,NA,NA,14.11,NA,NA,3.13,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,60.92,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,"Romania","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Putna Vrancea Natural Park",NA,45.834137,26.43840199,1,"%Bio - Biomass ingested",NA,"year",NA,250,500,"Nov2013-Oct2014",1,0.5,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,2.24,NA,NA,NA,13.42,NA,NA,3.18,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,61.9,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,"Romania","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Putna Vrancea Natural Park",NA,45.834137,26.43840199,1,"%Bio - Biomass ingested",NA,"cold season",NA,125,500,"Nov2013-Apr2014",1,0.25,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,0,NA,NA,NA,13.62,NA,NA,3.98,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,68,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",117,"Romania","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Putna Vrancea Natural Park",NA,45.834137,26.43840199,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"cold season",NA,125,500,"Nov2013-Apr2014",1,0.25,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91,NA,NA,0,NA,NA,NA,10.07,NA,NA,6.34,NA,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,77.09,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"Romania","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Putna Vrancea Natural Park",NA,45.834137,26.43840199,1,"%Bio - Biomass ingested",NA,"warm season",NA,125,500,"May2014-Oct2014",1,0.25,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA,NA,4.55,NA,NA,NA,13.2,NA,NA,2.4,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,55.8,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"Romania","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Putna Vrancea Natural Park",NA,45.834137,26.43840199,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"warm season",NA,125,500,"May2014-Oct2014",1,0.25,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.19,NA,NA,3.77,NA,NA,NA,10.14,NA,NA,3.97,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,65.7,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",120,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Roztocze",NA,50.36,22.58,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,84,8590,"2000-2003",4,0.00977881257275902,21,NA,0,NA,NA,0,NA,0,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,57.7,0,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Bieszczady Mountains",NA,49.13,20.3,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,87,780,"1998-2005",8,0.111538461538462,10.875,NA,0,NA,NA,0,NA,0,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,26.6,0,NA,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Western Beskidy Mountains",NA,49.5,19.333,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,390,745,"1997-2001",5,0.523489932885906,78,NA,0,NA,NA,0,NA,0.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,32.5,0,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",123,"Slovakia","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Tatranský  NP,  Nízke Tatry NP, Velkà Fatra NP",NA,48.5,19.5,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"year",NA,75,1300,"Mar2001-Nov2004",4,0.0576923076923077,18.75,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,20.5,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,"Slovakia","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Tatranský  NP,  Nízke Tatry NP, Velkà Fatra NP",NA,48.5,19.5,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"year",NA,75,1300,"Mar2001-Nov2004",4,0.0576923076923077,18.75,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,15.8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,"Slovakia","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Tatranský  NP,  Nízke Tatry NP, Velkà Fatra NP",NA,48.5,19.5,1,"%Bio - Biomass ingested",NA,"year",NA,75,1300,"Mar2001-Nov2004",4,0.0576923076923077,18.75,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,17.4,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,"Slovakia","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Tatranský  NP,  Nízke Tatry NP, Velkà Fatra NP",NA,48.5,19.5,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,75,1300,"Mar2001-Nov2004",4,0.0576923076923077,18.75,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,13.5,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",127,"Hungary","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Aggteleki National Park",NA,48.47555555,20.486666,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,81,135,"Dec2000-Feb2005",4,0.6,20.25,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,NA,NA,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"Hungary","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Aggteleki National Park",NA,48.47555555,20.486666,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"winter",NA,24,135,"Dec2000-Feb2005",4,0.177777777777778,6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",129,"Hungary","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Aggteleki National Park",NA,48.47555555,20.486666,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"spring",NA,43,135,"Dec2000-Feb2005",4,0.318518518518519,10.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,"Hungary","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Aggteleki National Park",NA,48.47555555,20.486666,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"autumn",NA,14,135,"Dec2000-Feb2005",4,0.103703703703704,3.5,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains",NA,49.5,19.333,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"warm season",NA,255,745,"1997-2001",4,0.342281879194631,63.75,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,32.9,0.4,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains",NA,49.5,19.333,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"warm season",NA,255,745,"1997-2001",4,0.342281879194631,63.75,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,34.4,0,NA,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains",NA,49.5,19.333,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"cold season",NA,135,745,"1997-2001",4,0.181208053691275,33.75,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,32.6,0,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains",NA,49.5,19.333,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"cold season",NA,135,745,"1997-2001",4,0.181208053691275,33.75,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,29.4,0,NA,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains",NA,49.5,19.333,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"year",NA,390,745,"1997-2001",4,0.523489932885906,97.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,32.8,0.3,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",136,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains",NA,49.5,19.333,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,390,745,"1997-2001",4,0.523489932885906,97.5,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,32.6,0,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",137,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Grapa pack",49.5,19.333,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"year",NA,272,745,"1997-2001",4,0.36510067114094,68,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,35.3,NA,NA,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Grapa pack",49.5,19.333,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,272,745,"1997-2001",4,0.36510067114094,68,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,37.7,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",139,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Gron pack",49.5,19.333,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"year",NA,87,745,"1997-2001",4,0.116778523489933,21.75,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,32.2,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",140,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Gron pack",49.5,19.333,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,87,745,"1997-2001",4,0.116778523489933,21.75,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,29.1,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",141,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Halny pack",49.5,19.333,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"year",NA,31,745,"1997-2001",4,0.0416107382550336,7.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,12.9,NA,NA,51.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",142,"Poland","Carpathians (ROU; SVK; POL; CZE; HUN)","Canis lupus lupus","Silesian Beskidy Mts and Zywiecki Beskidy Mts, Polish Carpathian Mountains","Halny pack",49.5,19.333,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,31,745,"1997-2001",4,0.0416107382550336,7.75,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4.6,NA,NA,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",143,"Bulgaria","Dinaric-Balkan (BGR; BIH; MKD; HRV; SVN; ALB; GRC; SRB)","Canis lupus lupus","State Game Enterprise ‘Chepino’ is situated in Western Rhodopes",NA,41.36,24.34,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,80,103,"2006-07",1,0.770712909441233,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.25,1.25,NA,22.5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",144,"Bulgaria","Dinaric-Balkan (BGR; BIH; MKD; HRV; SVN; ALB; GRC; SRB)","Canis lupus lupus","State Game Enterprise ‘Chepino’ is situated in Western Rhodopes",NA,41.36,24.34,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,80,103,"2006-07",1,0.770712909441233,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,0,NA,33.8,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",145,"Bulgaria","Dinaric-Balkan (BGR; BIH; MKD; HRV; SVN; ALB; GRC; SRB)","Canis lupus lupus","Central Balkan region, Rositsa",NA,42.0833,25,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
